Player,Season,Age,Team,Cmp,PassAtt,Cmp_p,PassYds,PassTD,Int,PassTD_p,Int_p,Pos,ID
Tom Brady,2022,45,TAM,490,733,66.8,4694,25,9,3.4,1.2,QB,BradTo00
Justin Herbert,2022,24,LAC,477,699,68.2,4739,25,10,3.6,1.4,QB,HerbJu00
Joe Burrow,2024,28,CIN,460,652,70.6,4918,43,9,6.6,1.4,QB,BurrJo01
Patrick Mahomes,2022,27,KAN,435,648,67.1,5250,41,12,6.3,1.9,QB,MahoPa00
Kirk Cousins,2022,34,MIN,424,643,65.9,4547,29,14,4.5,2.2,QB,CousKi00
Sam Howell,2023,23,WAS,388,612,63.4,3946,21,21,3.4,3.4,QB,HoweSa00
Joe Burrow,2022,26,CIN,414,606,68.3,4475,35,12,5.8,2,QB,BurrJo01
Jared Goff,2023,29,DET,407,605,67.3,4575,30,12,5,2,QB,GoffJa00
Patrick Mahomes,2023,28,KAN,401,597,67.2,4183,27,14,4.5,2.3,QB,MahoPa00
Dak Prescott,2023,30,DAL,410,590,69.5,4516,36,9,6.1,1.5,QB,PresDa01
Jared Goff,2022,28,DET,382,587,65.1,4438,29,7,4.9,1.2,QB,GoffJa00
Trevor Lawrence,2022,23,JAX,387,584,66.3,4113,25,8,4.3,1.4,QB,LawrTr00
Aaron Rodgers,2024,41,NYJ,368,584,63,3897,28,11,4.8,1.9,QB,RodgAa00
Patrick Mahomes,2024,29,KAN,392,581,67.5,3928,26,11,4.5,1.9,QB,MahoPa00
Josh Allen,2023,27,BUF,385,579,66.5,4306,29,18,5,3.1,QB,AlleJo02
Jordan Love,2023,25,GNB,372,579,64.2,4159,32,11,5.5,1.9,QB,LoveJo03
Geno Smith,2024,34,SEA,407,578,70.4,4320,21,15,3.6,2.6,QB,SmitGe00
Geno Smith,2022,32,SEA,399,572,69.8,4282,30,11,5.2,1.9,QB,SmitGe00
Baker Mayfield,2024,29,TAM,407,570,71.4,4500,41,16,7.2,2.8,QB,MayfBa00
Josh Allen,2022,26,BUF,359,567,63.3,4283,35,14,6.2,2.5,QB,AlleJo02
Bo Nix,2024,24,DEN,376,567,66.3,3775,29,12,5.1,2.1,QB,NixxBo00
Baker Mayfield,2023,28,TAM,364,566,64.3,4044,28,10,4.9,1.8,QB,MayfBa00
Trevor Lawrence,2023,24,JAX,370,564,65.6,4016,21,14,3.7,2.5,QB,LawrTr00
Caleb Williams,2024,23,CHI,351,562,62.5,3541,20,6,3.6,1.1,QB,WillCa03
Tua Tagovailoa,2023,25,MIA,388,560,69.3,4624,29,14,5.2,2.5,QB,TagoTu00
Derek Carr,2023,32,NOR,375,548,68.4,3878,25,8,4.6,1.5,QB,CarrDe02
Sam Darnold,2024,27,MIN,361,545,66.2,4319,35,12,6.4,2.2,QB,DarnSa00
Aaron Rodgers,2022,39,GNB,350,542,64.6,3695,26,12,4.8,2.2,QB,RodgAa00
Kyler Murray,2024,27,ARI,372,541,68.8,3851,21,11,3.9,2,QB,MurrKy00
Jared Goff,2024,30,DET,390,539,72.4,4629,37,12,6.9,2.2,QB,GoffJa00
Jalen Hurts,2023,25,PHI,352,538,65.4,3858,23,15,4.3,2.8,QB,HurtJa00
C.J. Stroud,2024,23,HOU,336,532,63.2,3727,20,12,3.8,2.3,QB,StroCJ00
Bryce Young,2023,22,CAR,315,527,59.8,2877,11,10,2.1,1.9,QB,YounBr01
Matthew Stafford,2023,35,LAR,326,521,62.6,3965,24,11,4.6,2.1,QB,StafMa00
Matthew Stafford,2024,36,LAR,340,517,65.8,3762,20,8,3.9,1.5,QB,StafMa00
Justin Herbert,2024,26,LAC,332,504,65.9,3870,23,3,4.6,0.6,QB,HerbJu00
Derek Carr,2022,31,LVR,305,502,60.8,3522,24,14,4.8,2.8,QB,CarrDe02
Geno Smith,2023,33,SEA,323,499,64.7,3624,20,9,4,1.8,QB,SmitGe00
C.J. Stroud,2023,22,HOU,319,499,63.9,4108,23,5,4.6,1,QB,StroCJ00
Gardner Minshew II,2023,27,IND,305,490,62.2,3305,15,9,3.1,1.8,QB,MinsGa00
Josh Allen,2024,28,BUF,307,483,63.6,3731,28,6,5.8,1.2,QB,AlleJo02
Russell Wilson,2022,34,DEN,292,483,60.5,3524,16,11,3.3,2.3,QB,WilsRu00
Jayden Daniels,2024,24,WAS,331,480,69,3568,25,9,5.2,1.9,QB,DaniJa02
Davis Mills,2022,24,HOU,292,479,61,3118,17,15,3.5,3.1,QB,MillDa02
