Player,Season,Age,Team,Tgt,Rec,RecYds,RecTD,Pos,ID
Justin Jefferson,2022,23,MIN,184,128,1809,8,WR,JeffJu00
CeeDee Lamb,2023,24,DAL,181,135,1749,12,WR,LambCe00
Davante Adams,2022,30,LVR,180,100,1516,14,WR,AdamDa01
Davante Adams,2023,31,LVR,175,103,1144,8,WR,AdamDa01
Ja'Marr Chase,2024,24,CIN,175,127,1708,17,WR,ChasJa00
Tyreek Hill,2023,29,MIA,171,119,1799,13,WR,HillTy00
Tyreek Hill,2022,28,MIA,170,119,1710,7,WR,HillTy00
Malik Nabers,2024,21,NYG,170,109,1204,7,WR,NabeMa00
Garrett Wilson,2023,23,NYJ,168,95,1042,3,WR,WilsGa00
Amon-Ra St. Brown,2023,24,DET,164,119,1515,10,WR,StxxAm00
Stefon Diggs,2023,30,BUF,160,107,1183,8,WR,DiggSt00
Puka Nacua,2023,22,LAR,160,105,1486,6,WR,NacuPu00
A.J. Brown,2023,26,PHI,158,106,1456,7,WR,BrowAJ00
Drake London,2024,23,ATL,158,100,1271,9,WR,LondDr00
CeeDee Lamb,2022,23,DAL,156,107,1359,9,WR,LambCe00
Michael Pittman Jr.,2023,26,IND,156,109,1152,4,WR,PittMi01
Stefon Diggs,2022,29,BUF,154,108,1429,11,WR,DiggSt00
Justin Jefferson,2024,25,MIN,154,103,1533,10,WR,JeffJu00
Garrett Wilson,2024,24,NYJ,154,101,1104,7,WR,WilsGa00
Brock Bowers,2024,22,LVR,153,112,1194,5,TE,BoweBr01
Travis Kelce,2022,33,KAN,152,110,1338,12,TE,KelcTr00
CeeDee Lamb,2024,25,DAL,152,101,1194,6,WR,LambCe00
Keenan Allen,2023,31,LAC,150,108,1243,7,WR,AlleKe00
Diontae Johnson,2022,26,PIT,147,86,882,0,WR,JohnDi01
Trey McBride,2024,25,ARI,147,111,1146,2,TE,McBrTr01
Garrett Wilson,2022,22,NYJ,147,83,1103,4,WR,WilsGa00
Amon-Ra St. Brown,2022,23,DET,146,106,1161,6,WR,StxxAm00
A.J. Brown,2022,25,PHI,145,88,1496,11,WR,BrowAJ00
Ja'Marr Chase,2023,23,CIN,145,100,1216,7,WR,ChasJa00
Jerry Jeudy,2024,25,CLE,145,90,1229,4,WR,JeudJe00
Evan Engram,2023,29,JAX,143,114,963,4,TE,EngrEv00
Chris Godwin,2022,26,TAM,142,104,1023,3,WR,GodwCh00
Davante Adams,2024,32,NYJLVR,141,85,1063,8,WR,AdamDa01
D.K. Metcalf,2022,25,SEA,141,90,1048,6,WR,MetcDK00
Michael Pittman Jr.,2022,25,IND,141,99,925,4,WR,PittMi01
Amon-Ra St. Brown,2024,25,DET,141,115,1263,12,WR,StxxAm00
D.J. Moore,2024,27,CHI,140,98,966,6,WR,MoorD.00
Wan'Dale Robinson,2024,23,NYG,140,93,699,3,WR,RobiWa01
Chris Olave,2023,23,NOR,138,87,1123,5,WR,OlavCh00
DeAndre Hopkins,2023,31,TEN,137,75,1057,7,WR,HopkDe00
Jaxon Smith-Njigba,2024,22,SEA,137,100,1130,6,WR,SmitJa06
Adam Thielen,2023,33,CAR,137,103,1014,4,WR,ThieAd00
