Player,Season,Age,Team,RushAtt,RushYds,RushTD,Pos,ID
Derrick Henry,2022,28,TEN,349,1538,13,RB,HenrDe00
Saquon Barkley,2024,27,PHI,345,2005,13,RB,BarkSa00
Josh Jacobs,2022,24,LVR,340,1653,12,RB,JacoJo01
Derrick Henry,2024,30,BAL,325,1921,16,RB,HenrDe00
Kyren Williams,2024,24,LAR,316,1299,14,RB,WillKy02
Bijan Robinson,2024,22,ATL,304,1456,14,RB,RobiBi01
Jonathan Taylor,2024,25,IND,303,1431,11,RB,TaylJo02
Nick Chubb,2022,27,CLE,302,1525,12,RB,ChubNi00
Josh Jacobs,2024,26,GNB,301,1329,15,RB,JacoJo01
Saquon Barkley,2022,25,NYG,295,1312,10,RB,BarkSa00
Derrick Henry,2023,29,TEN,280,1167,12,RB,HenrDe00
Najee Harris,2022,24,PIT,272,1034,7,RB,HarrNa00
Christian McCaffrey,2023,27,SFO,272,1459,14,RB,McCaCh01
Rachaad White,2023,24,TAM,272,990,6,RB,WhitRa01
Travis Etienne,2023,24,JAX,267,1008,11,RB,EtieTr00
Dalvin Cook,2022,27,MIN,264,1173,8,RB,CookDa01
Najee Harris,2024,26,PIT,263,1043,6,RB,HarrNa00
Jamaal Williams,2022,27,DET,262,1066,17,RB,WillJa06
Tony Pollard,2024,27,TEN,260,1079,5,RB,PollTo00
Miles Sanders,2022,25,PHI,259,1269,11,RB,SandMi01
Joe Mixon,2023,27,CIN,257,1034,9,RB,MixoJo00
Najee Harris,2023,25,PIT,255,1035,8,RB,HarrNa00
Aaron Jones,2024,30,MIN,255,1138,5,RB,JoneAa00
D'Andre Swift,2024,25,CHI,253,959,6,RB,SwifDA00
Tony Pollard,2023,26,DAL,252,1005,6,RB,PollTo00
Jahmyr Gibbs,2024,22,DET,250,1412,16,RB,GibbJa01
Chuba Hubbard,2024,25,CAR,250,1195,10,RB,HubbCh01
Saquon Barkley,2023,26,NYG,247,962,6,RB,BarkSa00
Joe Mixon,2024,28,HOU,245,1016,11,RB,MixoJo00
Christian McCaffrey,2022,26,CARSFO,244,1139,8,RB,McCaCh01
Chuba Hubbard,2023,24,CAR,238,902,5,RB,HubbCh01
James Cook,2023,24,BUF,237,1122,2,RB,CookJa01
James Conner,2024,29,ARI,236,1094,8,RB,ConnJa00
Rico Dowdle,2024,26,DAL,235,1079,2,RB,DowdRi01
Josh Jacobs,2023,25,LVR,233,805,6,RB,JacoJo01
Ezekiel Elliott,2022,27,DAL,231,876,12,RB,ElliEz00
Chase Brown,2024,24,CIN,229,990,7,RB,BrowCh10
D'Andre Swift,2023,24,PHI,229,1049,5,RB,SwifDA00
Alvin Kamara,2024,29,NOR,228,950,6,RB,KamaAl00
Kenneth Walker III,2022,22,SEA,228,1050,9,RB,WalkKe00
Kyren Williams,2023,23,LAR,228,1144,12,RB,WillKy02
Breece Hall,2023,22,NYJ,223,994,5,RB,HallBr03
Alvin Kamara,2022,27,NOR,223,897,2,RB,KamaAl00
Travis Etienne,2022,23,JAX,220,1125,5,RB,EtieTr00
Dameon Pierce,2022,22,HOU,220,939,4,RB,PierDa01
David Montgomery,2023,26,DET,219,1015,13,RB,MontDa01
Kenneth Walker III,2023,23,SEA,219,905,8,RB,WalkKe00
Javonte Williams,2023,23,DEN,217,774,3,RB,WillJa10
Devin Singletary,2023,26,HOU,216,898,4,RB,SingDe00
Bijan Robinson,2023,21,ATL,214,976,4,RB,RobiBi01
Aaron Jones,2022,28,GNB,213,1121,2,RB,JoneAa00
Tyler Allgeier,2022,22,ATL,210,1035,3,RB,AllgTy00
Joe Mixon,2022,26,CIN,210,814,7,RB,MixoJo00
Rhamondre Stevenson,2022,24,NWE,210,1040,5,RB,StevRh00
Breece Hall,2024,23,NYJ,209,876,5,RB,HallBr03
Raheem Mostert,2023,31,MIA,209,1012,18,RB,MostRa00
James Conner,2023,28,ARI,208,1040,7,RB,ConnJa00
James Cook,2024,25,BUF,207,1009,16,RB,CookJa01
Bucky Irving,2024,22,TAM,207,1122,8,RB,IrviBu00
Rhamondre Stevenson,2024,26,NWE,207,801,7,RB,StevRh00
Isiah Pacheco,2023,24,KAN,205,935,7,RB,PachIs00
Brian Robinson Jr.,2022,23,WAS,205,797,2,RB,RobiBr01
Austin Ekeler,2022,27,LAC,204,915,13,RB,EkelAu00
Jerome Ford,2023,24,CLE,204,813,4,RB,FordJe00
De'Von Achane,2024,23,MIA,203,907,6,RB,AchaDe00
D'Onta Foreman,2022,26,CAR,203,914,5,RB,ForeDO00
David Montgomery,2022,25,CHI,201,801,5,RB,MontDa01
Kareem Hunt,2024,29,KAN,200,728,7,RB,HuntKa00
Gus Edwards,2023,28,BAL,198,810,13,RB,EdwaGu00
J.K. Dobbins,2024,26,LAC,195,905,9,RB,DobbJK00
Tony Pollard,2022,25,DAL,193,1007,9,RB,PollTo00
Jonathan Taylor,2022,23,IND,192,861,4,RB,TaylJo02
Tyrone Tracy Jr.,2024,25,NYG,192,839,5,RB,TracTy00
Leonard Fournette,2022,27,TAM,189,668,3,RB,FourLe00
Cam Akers,2022,23,LAR,188,786,7,RB,AkerCa00
Brian Robinson Jr.,2024,25,WAS,187,799,8,RB,RobiBr01
Tyler Allgeier,2023,23,ATL,186,683,4,RB,AllgTy00
AJ Dillon,2022,24,GNB,186,770,7,RB,DillAJ00
David Montgomery,2024,27,DET,185,775,12,RB,MontDa01
Ezekiel Elliott,2023,28,NWE,184,642,3,RB,ElliEz00
James Conner,2022,27,ARI,183,782,7,RB,ConnJa00
Zack Moss,2023,26,IND,183,794,5,RB,MossZa00
Jahmyr Gibbs,2023,21,DET,182,945,10,RB,GibbJa01
Raheem Mostert,2022,30,MIA,181,891,3,RB,MostRa00
